coub,sex,edu_lfs,lfs,age,oecd,regionb,oecdb,fborn,number
ALB,2,1,3,1564,1,EURO,0,1,821
ALB,2,2,1,1,1,EURO,0,1,8906
ALB,2,2,2,1,1,EURO,0,1,4910
ALB,2,2,3,1,1,EURO,0,1,16897
ALB,2,2,99,1,1,EURO,0,1,1
ALB,2,2,1,2,1,EURO,0,1,72091
ALB,2,2,2,2,1,EURO,0,1,17199
ALB,2,2,3,2,1,EURO,0,1,59910
ALB,2,2,99,2,1,EURO,0,1,6
ALB,2,2,1,3,1,EURO,0,1,542
ALB,2,2,2,3,1,EURO,0,1,4
ALB,2,2,3,3,1,EURO,0,1,6198
ALB,2,2,1,1564,1,EURO,0,1,647
ALB,2,2,2,1564,1,EURO,0,1,71
ALB,2,2,3,1564,1,EURO,0,1,228
ALB,2,3,1,1,1,EURO,0,1,2115
ALB,2,3,2,1,1,EURO,0,1,1199
ALB,2,3,3,1,1,EURO,0,1,2975
ALB,2,3,99,1,1,EURO,0,1,5
ALB,2,3,1,2,1,EURO,0,1,47172
ALB,2,3,2,2,1,EURO,0,1,6287
ALB,2,3,3,2,1,EURO,0,1,18986
ALB,2,3,99,2,1,EURO,0,1,4
ALB,2,3,1,3,1,EURO,0,1,383
ALB,2,3,2,3,1,EURO,0,1,3
ALB,2,3,3,3,1,EURO,0,1,2371
ALB,2,3,99,3,1,EURO,0,1,3
ALB,2,3,1,1564,1,EURO,0,1,359
ALB,2,3,3,1564,1,EURO,0,1,191
ALB,2,99,1,1,1,EURO,0,1,180
ALB,2,99,2,1,1,EURO,0,1,2
ALB,2,99,3,1,1,EURO,0,1,188
ALB,2,99,99,1,1,EURO,0,1,18
ALB,2,99,1,2,1,EURO,0,1,765
ALB,2,99,2,2,1,EURO,0,1,54
ALB,2,99,3,2,1,EURO,0,1,1007
ALB,2,99,99,2,1,EURO,0,1,62
ALB,2,99,3,3,1,EURO,0,1,180
ALB,2,99,99,3,1,EURO,0,1,9
AND,1,1,1,1,1,EURO,0,1,101
AND,1,1,2,1,1,EURO,0,1,10
AND,1,1,3,1,1,EURO,0,1,88
AND,1,1,1,2,1,EURO,0,1,391
AND,1,1,2,2,1,EURO,0,1,10
AND,1,1,3,2,1,EURO,0,1,5
AND,1,1,1,3,1,EURO,0,1,10
AND,1,1,3,3,1,EURO,0,1,24
AND,1,2,1,1,1,EURO,0,1,9
AND,1,2,2,1,1,EURO,0,1,21
AND,1,2,3,1,1,EURO,0,1,102
AND,1,2,1,2,1,EURO,0,1,460
AND,1,2,2,2,1,EURO,0,1,17
AND,1,2,3,3,1,EURO,0,1,5
AND,1,2,2,99,1,EURO,0,1,22
AND,1,3,1,1,1,EURO,0,1,10
AND,1,3,2,1,1,EURO,0,1,1
AND,1,3,3,1,1,EURO,0,1,30
AND,1,3,1,2,1,EURO,0,1,690
AND,1,3,2,2,1,EURO,0,1,12
AND,1,3,3,2,1,EURO,0,1,7
AND,1,3,1,3,1,EURO,0,1,1
AND,1,3,3,3,1,EURO,0,1,16
AND,1,3,1,99,1,EURO,0,1,112
AND,1,99,3,1,1,EURO,0,1,145
AND,1,99,1,2,1,EURO,0,1,3
AND,1,99,3,2,1,EURO,0,1,3
AND,1,99,99,2,1,EURO,0,1,2
AND,1,99,99,99,1,EURO,0,1,1
AND,2,1,2,1,1,EURO,0,1,36
AND,2,1,3,1,1,EURO,0,1,38
AND,2,1,1,2,1,EURO,0,1,423
AND,2,1,2,2,1,EURO,0,1,56
AND,2,1,3,2,1,EURO,0,1,434
AND,2,1,1,3,1,EURO,0,1,1
AND,2,1,3,3,1,EURO,0,1,66
AND,2,1,1,99,1,EURO,0,1,16
